DISTRICT,CS_NONPROF_ASSET,FISCALYR,CS_NONPROF_FUNC,CS_NONPROF_OBJ,FIN_UNIT,CS_NONPROF_PGMIN,ACTAMT,DTUPDATE
003801,211,2005,00,5929,000,00,59372,25FEB2006
003801,211,2005,11,6119,001,30,57068,25FEB2006
003801,211,2005,11,6141,001,30,394,25FEB2006
003801,211,2005,11,6142,001,30,2470,25FEB2006
003801,211,2005,11,6145,001,30,135,25FEB2006
003801,211,2005,11,6146,001,30,54,25FEB2006
003801,211,2005,11,6239,001,30,564,25FEB2006
003801,211,2005,11,6399,001,30,2846,25FEB2006
003801,211,2005,11,6411,001,30,226,25FEB2006
003801,211,2005,11,6499,001,30,267,25FEB2006
003801,212,2005,11,6112,001,30,100,25FEB2006
003801,224,2005,00,5929,000,00,34716,25FEB2006
003801,224,2005,11,6112,001,23,225,25FEB2006
003801,224,2005,11,6119,001,23,24412,25FEB2006
003801,224,2005,11,6129,001,23,2433,25FEB2006
003801,224,2005,11,6141,001,23,472,25FEB2006
003801,224,2005,11,6142,001,23,2700,25FEB2006
003801,224,2005,11,6145,001,23,237,25FEB2006
003801,224,2005,11,6146,001,23,135,25FEB2006
003801,224,2005,11,6219,001,23,3945,25FEB2006
003801,224,2005,11,6399,001,23,3371,25FEB2006
003801,224,2005,11,6411,001,23,241,25FEB2006
003801,224,2005,11,6499,001,23,5,25FEB2006
003801,225,2005,00,5929,000,00,1546,25FEB2006
003801,225,2005,11,6119,999,23,1546,25FEB2006
003801,240,2005,00,5751,000,00,46299,25FEB2006
003801,240,2005,00,5829,000,00,836,25FEB2006
003801,240,2005,00,5921,000,00,16384,25FEB2006
003801,240,2005,00,5922,000,00,39125,25FEB2006
003801,240,2005,35,6129,999,99,31238,25FEB2006
003801,240,2005,35,6141,999,99,1028,25FEB2006
003801,240,2005,35,6142,999,99,872,25FEB2006
003801,240,2005,35,6145,999,99,383,25FEB2006
003801,240,2005,35,6146,999,99,398,25FEB2006
003801,240,2005,35,6249,999,99,262,25FEB2006
003801,240,2005,35,6259,999,99,2610,25FEB2006
003801,240,2005,35,6341,999,99,33758,25FEB2006
003801,240,2005,35,6342,999,99,5395,25FEB2006
003801,240,2005,35,6343,999,99,5781,25FEB2006
003801,240,2005,35,6344,999,99,873,25FEB2006
003801,240,2005,35,6399,999,99,44,25FEB2006
003801,240,2005,35,6411,999,99,1077,25FEB2006
003801,240,2005,35,6499,999,99,3009,25FEB2006
003801,240,2005,51,6249,999,99,4105,25FEB2006
003801,240,2005,51,6259,999,99,227,25FEB2006
003801,255,2005,00,5929,000,00,13314,25FEB2006
003801,255,2005,11,6119,001,11,14119,25FEB2006
003801,255,2005,11,6141,001,30,122,25FEB2006
003801,255,2005,11,6145,001,30,46,25FEB2006
003801,255,2005,11,6146,001,30,34,25FEB2006
003801,262,2005,00,5929,000,00,1458,25FEB2006
003801,262,2005,13,6119,001,00,1433,25FEB2006
003801,262,2005,13,6411,001,30,25,25FEB2006
003801,269,2005,00,5929,000,00,950,25FEB2006
003801,269,2005,11,6119,001,00,950,25FEB2006
003801,404,2005,00,5829,000,00,4271,25FEB2006
003801,404,2005,11,6119,001,24,5020,25FEB2006
003801,404,2005,11,6141,001,24,8,25FEB2006
003801,404,2005,11,6145,001,24,6,25FEB2006
003801,411,2005,00,5829,000,00,5843,25FEB2006
003801,411,2005,11,6129,001,11,6823,25FEB2006
003801,411,2005,11,6141,001,11,356,25FEB2006
003801,411,2005,11,6145,001,11,53,25FEB2006
003801,418,2005,00,5832,000,00,14083,25FEB2006
003801,418,2005,11,6132,001,11,8058,25FEB2006
003801,418,2005,11,6132,001,23,667,25FEB2006
003801,418,2005,11,6132,001,25,25,25FEB2006
003801,418,2005,11,6132,001,30,333,25FEB2006
003801,418,2005,11,6132,999,00,1499,25FEB2006
003801,418,2005,11,6141,001,11,135,25FEB2006
003801,418,2005,11,6141,001,23,9,25FEB2006
003801,418,2005,11,6141,001,30,5,25FEB2006
