DISTRICT,CS_NONPROF_ASSET,FISCALYR,CS_NONPROF_FUNC,CS_NONPROF_OBJ,FIN_UNIT,CS_NONPROF_PGMIN,ACTAMT,DTUPDATE
003801,199,2000,00,3600,000,00,-105094,27MAR2001
003801,199,2000,00,5742,000,00,139,27MAR2001
003801,199,2000,00,5744,000,00,49576,27MAR2001
003801,199,2000,00,5749,000,00,8647,27MAR2001
003801,199,2000,00,5751,000,00,10060,27MAR2001
003801,199,2000,00,5753,000,00,23674,27MAR2001
003801,199,2000,00,5812,000,00,765777,27MAR2001
003801,199,2000,00,5839,000,00,30436,27MAR2001
003801,199,2000,11,6119,001,11,280402,27MAR2001
003801,199,2000,11,6141,001,11,10240,27MAR2001
003801,199,2000,11,6142,001,11,6920,27MAR2001
003801,199,2000,11,6146,001,11,24796,27MAR2001
003801,199,2000,11,6219,001,11,22021,27MAR2001
003801,199,2000,11,6219,001,23,4574,27MAR2001
003801,199,2000,11,6249,001,11,54,27MAR2001
003801,199,2000,11,6329,001,11,388,27MAR2001
003801,199,2000,11,6399,001,11,55700,27MAR2001
003801,199,2000,11,6399,001,23,1350,27MAR2001
003801,199,2000,11,6411,001,11,945,27MAR2001
003801,199,2000,13,6411,001,11,7840,27MAR2001
003801,199,2000,13,6499,001,11,1980,27MAR2001
003801,199,2000,23,6129,001,99,9000,27MAR2001
003801,199,2000,23,6141,001,99,131,27MAR2001
003801,199,2000,23,6146,001,99,540,27MAR2001
003801,199,2000,23,6219,001,99,25838,27MAR2001
003801,199,2000,23,6399,041,11,530,27MAR2001
003801,199,2000,23,6399,101,11,884,27MAR2001
003801,199,2000,23,6399,999,11,88,27MAR2001
003801,199,2000,31,6339,001,23,5233,27MAR2001
003801,199,2000,33,6119,001,99,5724,27MAR2001
003801,199,2000,33,6399,041,11,248,27MAR2001
003801,199,2000,33,6399,101,11,414,27MAR2001
003801,199,2000,33,6399,999,11,41,27MAR2001
003801,199,2000,35,6341,999,99,15859,27MAR2001
003801,199,2000,36,6411,999,99,9750,27MAR2001
003801,199,2000,36,6499,999,99,7298,27MAR2001
003801,199,2000,41,6119,701,99,55000,27MAR2001
003801,199,2000,41,6119,750,99,30000,27MAR2001
003801,199,2000,41,6141,701,99,798,27MAR2001
003801,199,2000,41,6141,750,99,435,27MAR2001
003801,199,2000,41,6146,701,99,3300,27MAR2001
003801,199,2000,41,6146,750,99,1800,27MAR2001
003801,199,2000,41,6211,720,99,21575,27MAR2001
003801,199,2000,41,6212,750,99,4000,27MAR2001
003801,199,2000,41,6219,720,99,13225,27MAR2001
003801,199,2000,41,6299,720,99,165201,27MAR2001
003801,199,2000,41,6399,750,99,3206,27MAR2001
003801,199,2000,41,6411,701,99,1447,27MAR2001
003801,199,2000,41,6429,720,99,667,27MAR2001
003801,199,2000,51,6249,999,99,26518,27MAR2001
003801,199,2000,51,6259,999,99,23098,27MAR2001
003801,199,2000,51,6269,999,99,93667,27MAR2001
003801,199,2000,51,6299,999,99,18561,27MAR2001
003801,199,2000,51,6319,999,99,10977,27MAR2001
003801,199,2000,51,6429,999,99,2216,27MAR2001
003801,199,2000,51,6449,999,99,6568,27MAR2001
003801,199,2000,51,6499,999,99,760,27MAR2001
003801,199,2000,51,6529,999,99,1455,27MAR2001
003801,199,2000,51,6599,999,99,384,27MAR2001
003801,199,2000,53,6219,999,99,3561,27MAR2001
003801,199,2000,53,6239,999,99,4025,27MAR2001
003801,199,2000,53,6249,999,99,100,27MAR2001
003801,199,2000,81,6499,999,99,2069,27MAR2001
003801,226,2000,00,3490,000,00,-835,27MAR2001
003801,226,2000,00,5929,000,00,2915,27MAR2001
003801,226,2000,11,6399,001,23,3750,27MAR2001
003801,289,2000,00,3490,000,00,-11385,27MAR2001
003801,289,2000,00,5929,000,00,59215,27MAR2001
003801,289,2000,11,6119,001,11,7500,27MAR2001
003801,289,2000,11,6399,001,11,46950,27MAR2001
003801,289,2000,13,6219,001,11,16150,27MAR2001
003801,411,2000,00,5819,000,00,5720,27MAR2001
003801,411,2000,11,6399,001,11,5720,27MAR2001
014801,199,2000,00,3600,000,00,67614,27MAR2001
014801,199,2000,11,6119,001,11,131137,27MAR2001
014801,199,2000,13,6119,001,11,1000,27MAR2001
014801,199,2000,41,6212,701,99,3000,27MAR2001
014801,199,2000,41,6219,701,99,61075,27MAR2001
014801,199,2000,41,6321,701,99,1215,27MAR2001
014801,199,2000,41,6399,701,99,484,27MAR2001
014801,199,2000,41,6411,701,99,339,27MAR2001
014801,199,2000,41,6449,701,99,1698,27MAR2001
014801,199,2000,41,6499,701,99,5673,27MAR2001
014801,199,2000,51,6249,001,99,9500,27MAR2001
014801,199,2000,51,6259,001,99,13205,27MAR2001
014801,199,2000,51,6269,001,99,22885,27MAR2001
014801,199,2000,53,6219,001,99,7532,27MAR2001
014802,199,2000,00,3600,000,00,122861,27MAR2001
014802,199,2000,00,5749,000,00,87,27MAR2001
014802,199,2000,00,5755,000,00,62,27MAR2001
014802,199,2000,00,5759,000,00,734,27MAR2001
014802,199,2000,00,5829,000,00,368793,27MAR2001
014802,199,2000,00,5919,000,00,2702,27MAR2001
014802,199,2000,11,6119,001,11,95400,27MAR2001
014802,199,2000,11,6129,001,11,42003,27MAR2001
014802,199,2000,11,6141,001,11,1663,27MAR2001
014802,199,2000,11,6219,001,11,6013,27MAR2001
014802,199,2000,11,6259,001,11,9089,27MAR2001
014802,199,2000,11,6319,001,11,2549,27MAR2001
014802,199,2000,11,6399,001,11,7645,27MAR2001
014802,199,2000,11,6449,001,11,8064,27MAR2001
014802,199,2000,11,6499,001,11,17000,27MAR2001
014802,199,2000,11,6599,001,11,13350,27MAR2001
014802,199,2000,12,6249,001,11,1209,27MAR2001
014802,199,2000,12,6259,001,11,1949,27MAR2001
014802,199,2000,12,6299,001,11,726,27MAR2001
014802,199,2000,12,6399,001,11,136,27MAR2001
014802,199,2000,13,6141,001,11,10,27MAR2001
014802,199,2000,13,6219,001,11,2135,27MAR2001
014802,199,2000,13,6399,001,11,992,27MAR2001
014802,199,2000,13,6499,001,11,6811,27MAR2001
014802,199,2000,21,6119,001,11,21585,27MAR2001
014802,199,2000,21,6129,001,11,22110,27MAR2001
014802,199,2000,21,6141,001,11,620,27MAR2001
014802,199,2000,21,6399,001,11,1041,27MAR2001
014802,199,2000,23,6119,001,11,20500,27MAR2001
014802,199,2000,23,6129,001,11,18936,27MAR2001
014802,199,2000,23,6141,001,11,573,27MAR2001
014802,199,2000,23,6219,001,11,1980,27MAR2001
014802,199,2000,23,6399,001,11,989,27MAR2001
014802,199,2000,23,6411,001,11,3742,27MAR2001
014802,199,2000,23,6499,001,11,1883,27MAR2001
014802,199,2000,31,6219,001,11,2037,27MAR2001
014802,199,2000,31,6339,001,11,1024,27MAR2001
014802,199,2000,33,6399,001,11,92,27MAR2001
014802,199,2000,36,6399,001,11,150,27MAR2001
014802,199,2000,36,6499,001,11,954,27MAR2001
014802,199,2000,41,6119,701,99,17217,27MAR2001
014802,199,2000,41,6141,701,99,161,27MAR2001
014802,199,2000,41,6212,701,99,5900,27MAR2001
014802,199,2000,41,6219,701,99,1796,27MAR2001
014802,199,2000,51,6219,001,99,3263,27MAR2001
014802,199,2000,51,6319,001,99,1623,27MAR2001
014802,199,2000,52,6239,001,99,917,27MAR2001
014802,199,2000,53,6239,001,99,38700,27MAR2001
014802,199,2000,53,6399,001,99,80,27MAR2001
014802,199,2000,61,6319,001,99,55,27MAR2001
014802,199,2000,61,6499,001,99,156,27MAR2001
014802,199,2000,81,6499,001,99,27,27MAR2001
014802,211,2000,00,5919,000,00,15465,27MAR2001
014802,221,2000,00,5749,000,00,2840,27MAR2001
014802,235,2000,00,5839,000,00,466,27MAR2001
014802,289,2000,00,5929,000,00,24073,27MAR2001
014802,289,2000,41,6319,701,99,1013,27MAR2001
014802,391,2000,00,5949,000,00,348,27MAR2001
014802,413,2000,00,5919,000,00,34200,27MAR2001
014802,461,2000,00,5739,000,00,325,27MAR2001
014802,461,2000,36,6499,001,99,239,27MAR2001
014803,101,2000,35,6349,999,99,206,27MAR2001
014803,199,2000,00,3590,000,00,85211,27MAR2001
014803,199,2000,00,5739,000,00,904,27MAR2001
014803,199,2000,11,6119,101,11,218193,27MAR2001
014803,199,2000,11,6119,701,11,40000,27MAR2001
014803,199,2000,11,6141,101,11,180,27MAR2001
014803,199,2000,11,6142,101,11,3013,27MAR2001
014803,199,2000,11,6149,101,11,19604,27MAR2001
014803,199,2000,11,6219,101,11,1402,27MAR2001
014803,199,2000,11,6329,101,11,40,27MAR2001
014803,199,2000,11,6399,101,11,6176,27MAR2001
014803,199,2000,11,6429,101,11,11377,27MAR2001
014803,199,2000,12,6219,101,11,4610,27MAR2001
014803,199,2000,12,6249,101,11,90,27MAR2001
014803,199,2000,12,6269,101,11,2473,27MAR2001
014803,199,2000,12,6319,101,11,743,27MAR2001
014803,199,2000,12,6329,101,11,49,27MAR2001
014803,199,2000,12,6399,101,11,576,27MAR2001
014803,199,2000,13,6219,101,11,1000,27MAR2001
014803,199,2000,13,6239,101,11,200,27MAR2001
014803,199,2000,13,6341,101,11,55,27MAR2001
014803,199,2000,21,6399,101,11,135,27MAR2001
014803,199,2000,31,6219,101,11,360,27MAR2001
014803,199,2000,31,6339,999,23,1552,27MAR2001
014803,199,2000,35,6341,999,99,894,27MAR2001
014803,199,2000,41,6129,701,99,300,27MAR2001
014803,199,2000,41,6219,701,11,7539,27MAR2001
014803,199,2000,41,6399,701,99,2731,27MAR2001
014803,199,2000,51,6212,999,99,539,27MAR2001
014803,199,2000,51,6249,999,99,936,27MAR2001
014803,199,2000,51,6259,999,99,14226,27MAR2001
014803,199,2000,51,6299,999,99,42,27MAR2001
014803,199,2000,51,6319,999,99,4056,27MAR2001
014803,199,2000,51,6399,999,11,29,27MAR2001
014803,199,2000,53,6219,999,99,2700,27MAR2001
014803,461,2000,11,6399,999,11,530,27MAR2001
015801,199,2000,00,3600,000,00,42039,27MAR2001
015801,199,2000,00,5742,000,00,1770,27MAR2001
015801,199,2000,00,5744,000,00,12301,27MAR2001
015801,199,2000,00,5749,000,00,59799,27MAR2001
015801,199,2000,00,5753,000,00,3769,27MAR2001
015801,199,2000,00,5812,000,00,781225,27MAR2001
015801,199,2000,11,6112,001,11,5389,27MAR2001
015801,199,2000,11,6119,001,11,134812,27MAR2001
015801,199,2000,11,6119,001,22,43566,27MAR2001
015801,199,2000,11,6119,001,23,13963,27MAR2001
015801,199,2000,11,6119,001,24,65523,27MAR2001
015801,199,2000,11,6129,001,24,13841,27MAR2001
015801,199,2000,11,6141,001,11,4939,27MAR2001
015801,199,2000,11,6141,001,22,610,27MAR2001
015801,199,2000,11,6141,001,23,173,27MAR2001
015801,199,2000,11,6141,001,24,761,27MAR2001
015801,199,2000,11,6142,001,11,5882,27MAR2001
015801,199,2000,11,6142,001,22,1796,27MAR2001
015801,199,2000,11,6142,001,24,1470,27MAR2001
015801,199,2000,11,6143,001,11,3900,27MAR2001
015801,199,2000,11,6143,001,24,845,27MAR2001
015801,199,2000,11,6145,001,11,5175,27MAR2001
015801,199,2000,11,6219,001,11,3751,27MAR2001
015801,199,2000,11,6219,001,22,1987,27MAR2001
015801,199,2000,11,6219,001,23,1934,27MAR2001
